grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Total,2015,1,2015-01-01,1047,17037504.083333332,6.145266318816095
Total,2015,2,2015-02-01,852,17037504.083333332,5.0007324772027815
Total,2015,3,2015-03-01,947,17037504.083333332,5.558325887219524
Total,2015,4,2015-04-01,935,17037504.083333332,5.487893035427935
Total,2015,5,2015-05-01,899,17037504.083333332,5.27659448005317
Total,2015,6,2015-06-01,866,17037504.083333332,5.0829041376263016
Total,2015,7,2015-07-01,850,17037504.083333332,4.98899366857085
Total,2015,8,2015-08-01,915,17037504.083333332,5.370504949108621
Total,2015,9,2015-09-01,902,17037504.083333332,5.294202693001067
Total,2015,10,2015-10-01,990,17037504.083333332,5.810710272806049
Total,2015,11,2015-11-01,921,17037504.083333332,5.405721375004416
Total,2015,12,2015-12-01,1052,17037504.083333332,6.174613340395923
Total,2016,1,2016-01-01,940,17173452.666666668,5.47356444999858
Total,2016,2,2016-02-01,926,17173452.666666668,5.392043277339027
Total,2016,3,2016-03-01,929,17173452.666666668,5.409512100051789
Total,2016,4,2016-04-01,919,17173452.666666668,5.351282691009251
Total,2016,5,2016-05-01,927,17173452.666666668,5.397866218243281
Total,2016,6,2016-06-01,879,17173452.666666668,5.118365054839098
Total,2016,7,2016-07-01,925,17173452.666666668,5.386220336434773
Total,2016,8,2016-08-01,910,17173452.666666668,5.298876222870966
Total,2016,9,2016-09-01,962,17173452.666666668,5.601669149892165
Total,2016,10,2016-10-01,1047,17173452.666666668,6.096619126753739
Total,2016,11,2016-11-01,1016,17173452.666666668,5.91610795872187
Total,2016,12,2016-12-01,1051,17173452.666666668,6.119910890370754
Total,2017,1,2017-01-01,1058,17305077.416666668,6.113812579544032
Total,2017,2,2017-02-01,966,17305077.416666668,5.582176703061942
Total,2017,3,2017-03-01,1055,17305077.416666668,6.096476627050049
Total,2017,4,2017-04-01,923,17305077.416666668,5.333694717314878
Total,2017,5,2017-05-01,1029,17305077.416666668,5.9462317054355465
Total,2017,6,2017-06-01,932,17305077.416666668,5.385702574796821
Total,2017,7,2017-07-01,937,17305077.416666668,5.414595828953457
Total,2017,8,2017-08-01,1071,17305077.416666668,6.188935040351284
Total,2017,9,2017-09-01,1134,17305077.416666668,6.552990042724888
Total,2017,10,2017-10-01,1212,17305077.416666668,7.003724807568399
Total,2017,11,2017-11-01,1062,17305077.416666668,6.13692718286934
Total,2017,12,2017-12-01,1111,17305077.416666668,6.420081073604365
Total,2018,1,2018-01-01,1077,17374575,6.198712774269299
Total,2018,2,2018-02-01,956,17374575,5.502292861839786
Total,2018,3,2018-03-01,1132,17374575,6.515267279919077
Total,2018,4,2018-04-01,1069,17374575,6.152668482538422
Total,2018,5,2018-05-01,1040,17374575,5.985757925013993
Total,2018,6,2018-06-01,972,17374575,5.59438144530154
Total,2018,7,2018-07-01,1027,17374575,5.910935950951318
Total,2018,8,2018-08-01,1038,17374575,5.974246852081274
Total,2018,9,2018-09-01,1085,17374575,6.244757066000175
Total,2018,10,2018-10-01,1089,17374575,6.267779211865615
Total,2018,11,2018-11-01,1093,17374575,6.290801357731053
Total,2018,12,2018-12-01,1150,17374575,6.61886693631355
Total,2019,1,2019-01-01,1112,17512260.416666668,6.349837048686723
Total,2019,2,2019-02-01,1028,17512260.416666668,5.870173098965783
Total,2019,3,2019-03-01,1221,17512260.416666668,6.972258126300799
Total,2019,4,2019-04-01,1122,17512260.416666668,6.406939899843978
Total,2019,5,2019-05-01,1145,17512260.416666668,6.538276457505663
Total,2019,6,2019-06-01,1054,17512260.416666668,6.018640511974646
Total,2019,7,2019-07-01,1086,17512260.416666668,6.201369635677861
Total,2019,8,2019-08-01,1103,17512260.416666668,6.298444482645194
Total,2019,9,2019-09-01,1174,17512260.416666668,6.703874725861702
Total,2019,10,2019-10-01,1134,17512260.416666668,6.4754633212326835
Total,2019,11,2019-11-01,1152,17512260.416666668,6.578248453315743
Total,2019,12,2019-12-01,1187,17512260.416666668,6.778108432366133
