grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Feminino,2008,3,2008-03-01,172,7925974.083333333,2.1700802726781565
Feminino,2008,4,2008-04-01,170,7925974.083333333,2.1448467811353873
Feminino,2008,5,2008-05-01,165,7925974.083333333,2.081763052278464
Feminino,2008,6,2008-06-01,152,7925974.083333333,1.917745357250464
Feminino,2008,7,2008-07-01,162,7925974.083333333,2.04391281496431
Feminino,2008,8,2008-08-01,166,7925974.083333333,2.0943797980498484
Feminino,2008,9,2008-09-01,147,7925974.083333333,1.8546616283935404
Feminino,2008,10,2008-10-01,159,7925974.083333333,2.006062577650156
Feminino,2008,11,2008-11-01,141,7925974.083333333,1.7789611537652328
Feminino,2008,12,2008-12-01,176,7925974.083333333,2.220547255763695
Feminino,2009,1,2009-01-01,152,8073803.083333333,1.8826319942552474
Feminino,2009,2,2009-02-01,149,8073803.083333333,1.8454747838423151
Feminino,2009,3,2009-03-01,160,8073803.083333333,1.9817178886897344
Feminino,2009,4,2009-04-01,158,8073803.083333333,1.9569464150811127
Feminino,2009,5,2009-05-01,165,8073803.083333333,2.0436465727112885
Feminino,2009,6,2009-06-01,161,8073803.083333333,1.994103625494045
Feminino,2009,7,2009-07-01,141,8073803.083333333,1.7463888894078283
Feminino,2009,8,2009-08-01,133,8073803.083333333,1.6473029949733418
Feminino,2009,9,2009-09-01,152,8073803.083333333,1.8826319942552474
Feminino,2009,10,2009-10-01,157,8073803.083333333,1.9445606782768017
Feminino,2009,11,2009-11-01,169,8073803.083333333,2.093189519928532
Feminino,2009,12,2009-12-01,175,8073803.083333333,2.167503940754397
Feminino,2010,1,2010-01-01,178,8112400.75,2.194171682162028
Feminino,2010,2,2010-02-01,155,8112400.75,1.9106551164894066
Feminino,2010,3,2010-03-01,179,8112400.75,2.2064984893651856
Feminino,2010,4,2010-04-01,187,8112400.75,2.3051129469904454
Feminino,2010,5,2010-05-01,178,8112400.75,2.194171682162028
Feminino,2010,6,2010-06-01,158,8112400.75,1.9476355380988792
Feminino,2010,7,2010-07-01,158,8112400.75,1.9476355380988792
