grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Masculino,2005,8,2005-08-01,617,7589638.583333333,8.129504366056604
Masculino,2005,9,2005-09-01,565,7589638.583333333,7.44435975173741
Masculino,2005,10,2005-10-01,631,7589638.583333333,8.31396637760408
Masculino,2005,11,2005-11-01,551,7589638.583333333,7.259897740189935
Masculino,2005,12,2005-12-01,571,7589638.583333333,7.5234148995434715
Masculino,2006,1,2006-01-01,642,7703479.5,8.33389639058558
Masculino,2006,2,2006-02-01,552,7703479.5,7.165593158260498
Masculino,2006,3,2006-03-01,627,7703479.5,8.139179185198065
Masculino,2006,4,2006-04-01,533,7703479.5,6.918951364769647
Masculino,2006,5,2006-05-01,547,7703479.5,7.100687423131327
Masculino,2006,6,2006-06-01,493,7703479.5,6.399705483736278
Masculino,2006,7,2006-07-01,601,7703479.5,7.8016693625263756
Masculino,2006,8,2006-08-01,571,7703479.5,7.412234951751348
Masculino,2006,9,2006-09-01,533,7703479.5,6.918951364769647
Masculino,2006,10,2006-10-01,594,7703479.5,7.710801333345536
Masculino,2006,11,2006-11-01,553,7703479.5,7.178574305286332
Masculino,2006,12,2006-12-01,588,7703479.5,7.63291445119053
Masculino,2007,1,2007-01-01,621,7769256.833333333,7.993042491987812
Masculino,2007,2,2007-02-01,525,7769256.833333333,6.7574030729365555
Masculino,2007,3,2007-03-01,632,7769256.833333333,8.134626175420768
Masculino,2007,4,2007-04-01,579,7769256.833333333,7.452450246152888
Masculino,2007,5,2007-05-01,599,7769256.833333333,7.709875125121899
Masculino,2007,6,2007-06-01,568,7769256.833333333,7.310866562719931
Masculino,2007,7,2007-07-01,549,7769256.833333333,7.066312927699371
Masculino,2007,8,2007-08-01,628,7769256.833333333,8.083141199626965
Masculino,2007,9,2007-09-01,568,7769256.833333333,7.310866562719931
Masculino,2007,10,2007-10-01,586,7769256.833333333,7.542548953792042
Masculino,2007,11,2007-11-01,556,7769256.833333333,7.156411635338524
Masculino,2007,12,2007-12-01,585,7769256.833333333,7.529677709843591
Masculino,2008,1,2008-01-01,637,7797496.5,8.169288694134073
Masculino,2008,2,2008-02-01,660,7797496.5,8.464255161897155
Masculino,2008,3,2008-03-01,652,7797496.5,8.361658129631735
Masculino,2008,4,2008-04-01,597,7797496.5,7.656303532806972
Masculino,2008,5,2008-05-01,550,7797496.5,7.053545968247629
Masculino,2008,6,2008-06-01,562,7797496.5,7.207441516645759
Masculino,2008,7,2008-07-01,595,7797496.5,7.630654274740617
Masculino,2008,8,2008-08-01,594,7797496.5,7.61782964570744
Masculino,2008,9,2008-09-01,640,7797496.5,8.207762581233606
Masculino,2008,10,2008-10-01,628,7797496.5,8.053867032835475
Masculino,2008,11,2008-11-01,608,7797496.5,7.797374452171925
Masculino,2008,12,2008-12-01,652,7797496.5,8.361658129631735
Masculino,2009,1,2009-01-01,673,7844062.25,8.579738132496335
Masculino,2009,2,2009-02-01,589,7844062.25,7.508864427994563
Masculino,2009,3,2009-03-01,652,7844062.25,8.312019706370894
Masculino,2009,4,2009-04-01,617,7844062.25,7.865822329495154
Masculino,2009,5,2009-05-01,623,7844062.25,7.942313308388138
Masculino,2009,6,2009-06-01,553,7844062.25,7.049918554636662
Masculino,2009,7,2009-07-01,602,7844062.25,7.674594882262695
Masculino,2009,8,2009-08-01,614,7844062.25,7.827576840048662
Masculino,2009,9,2009-09-01,600,7844062.25,7.649097889298368
Masculino,2009,10,2009-10-01,622,7844062.25,7.9295648119059745
Masculino,2009,11,2009-11-01,670,7844062.25,8.541492643049843
